torch 2.14.0+cpu
!! mean(int8)                             eager raises RuntimeError                                          | aot_eager raises TorchRuntimeError                 | inductor raises TorchRuntimeError
   pow(uint8, 2)                          eager [[1, 64], [9, 16]] uint8                                     | aot_eager [[1, 64], [9, 16]] uint8                 | inductor [[1, 64], [9, 16]] uint8
   pow(int8, 2.0)                         eager [[1.0, 4.0], [9.0, 16.0]] float32                            | aot_eager [[1.0, 4.0], [9.0, 16.0]] float32        | inductor [[1.0, 4.0], [9.0, 16.0]] float32
   pow(2, uint8)                          eager [[2, 0], [8, 16]] uint8                                      | aot_eager [[2, 0], [8, 16]] uint8                  | inductor [[2, 0], [8, 16]] uint8
   pow(bool, 2)                           eager [[1, 0], [1, 1]] int64                                       | aot_eager [[1, 0], [1, 1]] int64                   | inductor [[1, 0], [1, 1]] int64
!! pow(int8, -1)                          eager raises RuntimeError                                          | aot_eager raises RuntimeError                      | inductor raises InductorError
   logical_and(int8, uint8)               eager [[True, True], [True, True]] bool                            | aot_eager [[True, True], [True, True]] bool        | inductor [[True, True], [True, True]] bool
   logical_not(uint8)                     eager [[False, False], [False, False]] bool                        | aot_eager [[False, False], [False, False]] bool    | inductor [[False, False], [False, False]] bool
   logical_xor(f, int8)                   eager [[False, False], [False, False]] bool                        | aot_eager [[False, False], [False, False]] bool    | inductor [[False, False], [False, False]] bool
!! addcdiv(int8, int8, int8)              eager raises RuntimeError                                          | aot_eager raises TorchRuntimeError                 | inductor raises TorchRuntimeError
   addcmul(int8, int8, int8, value=2.5)   eager [[3, 6], [21, 36]] int8                                      | aot_eager [[3, 6], [21, 36]] int8                  | inductor [[3, 6], [21, 36]] int8
   addcmul(f, f, f, value=2)              eager [[6.0, 7.875], [21.0, 36.0]] float32                         | aot_eager [[6.0, 7.875], [21.0, 36.0]] float32     | inductor [[6.0, 7.875], [21.0, 36.0]] float32
   sign(bool)                             eager [[True, False], [True, True]] bool                           | aot_eager [[True, False], [True, True]] bool       | inductor [[True, False], [True, True]] bool
   sign(uint8)                            eager [[1, 1], [1, 1]] uint8                                       | aot_eager [[1, 1], [1, 1]] uint8                   | inductor [[1, 1], [1, 1]] uint8
   signbit(uint8)                         eager [[False, False], [False, False]] bool                        | aot_eager [[False, False], [False, False]] bool    | inductor [[False, False], [False, False]] bool
!! abs(bool)                              eager raises NotImplementedError                                   | aot_eager raises NotImplementedError               | inductor raises InductorError
   abs(uint8)                             eager [[1, 200], [3, 4]] uint8                                     | aot_eager [[1, 200], [3, 4]] uint8                 | inductor [[1, 200], [3, 4]] uint8
   floor(int8)                            eager [[1, -2], [3, 4]] int8                                       | aot_eager [[1, -2], [3, 4]] int8                   | inductor [[1, -2], [3, 4]] int8
!! ceil(bool)                             eager raises NotImplementedError                                   | aot_eager raises NotImplementedError               | inductor [[True, False], [True, True]] bool
   trunc(uint8)                           eager [[1, 200], [3, 4]] uint8                                     | aot_eager [[1, 200], [3, 4]] uint8                 | inductor [[1, 200], [3, 4]] uint8
!! frexp(int8)                            eager raises RuntimeError                                          | aot_eager raises TorchRuntimeError                 | inductor raises TorchRuntimeError
   isinf(int8)                            eager [[False, False], [False, False]] bool                        | aot_eager [[False, False], [False, False]] bool    | inductor [[False, False], [False, False]] bool
   isnan(bool)                            eager [[False, False], [False, False]] bool                        | aot_eager [[False, False], [False, False]] bool    | inductor [[False, False], [False, False]] bool
   reciprocal(int8)                       eager [[1.0, -0.5], [0.3333333432674408, 0.25]] float32            | aot_eager [[1.0, -0.5], [0.3333333432674408, 0.25] | inductor [[1.0, -0.5], [0.3333333432674408, 0.25]] float32
   reciprocal(bool)                       eager [[1.0, inf], [1.0, 1.0]] float32                             | aot_eager [[1.0, inf], [1.0, 1.0]] float32         | inductor [[1.0, inf], [1.0, 1.0]] float32
   sqrt(uint8)                            eager [[1.0, 14.142135620117188], [1.7320507764816284, 2.0]] float | aot_eager [[1.0, 14.142135620117188], [1.732050776 | inductor [[1.0, 14.142135620117188], [1.7320507764816284, 2.0]] float
   sigmoid(int8)                          eager [[0.7310585975646973, 0.11920291930437088], [0.9525741338729 | aot_eager [[0.7310585975646973, 0.1192029193043708 | inductor [[0.7310585975646973, 0.11920291930437088], [0.9525741338729
   exp(bool)                              eager [[2.7182817459106445, 1.0], [2.7182817459106445, 2.718281745 | aot_eager [[2.7182817459106445, 1.0], [2.718281745 | inductor [[2.7182817459106445, 1.0], [2.7182817459106445, 2.718281745
!! atan2(int8, uint8)                     eager [[0.7853981852531433, -0.00999966636300087], [0.785398185253 | aot_eager [[0.7853981852531433, -0.009999666363000 | inductor [[0.7853981256484985, -0.00999966636300087], [0.785398125648
   copysign(int8, 2)                      eager [[1.0, 2.0], [3.0, 4.0]] float32                             | aot_eager [[1.0, 2.0], [3.0, 4.0]] float32         | inductor [[1.0, 2.0], [3.0, 4.0]] float32
   copysign(f, int8)                      eager [[1.5, -2.25], [3.0, 4.0]] float32                           | aot_eager [[1.5, -2.25], [3.0, 4.0]] float32       | inductor [[1.5, -2.25], [3.0, 4.0]] float32
   digamma(uint8)                         eager [[-0.5772159099578857, 5.295815467834473], [0.92278420925140 | aot_eager [[-0.5772159099578857, 5.295815467834473 | inductor [[-0.5772159099578857, 5.295815467834473], [0.92278420925140
   i0(int8)                               eager [[1.2660659551620483, 2.279585123062134], [4.880792617797852 | aot_eager [[1.2660659551620483, 2.279585123062134] | inductor [[1.2660659551620483, 2.279585123062134], [4.880792617797852
!! upsample_nearest1d(int8)               eager raises NotImplementedError                                   | aot_eager [[[1, 1, -2, -2], [3, 3, 4, 4]]] int8    | inductor [[[1, 1, -2, -2], [3, 3, 4, 4]]] int8
   upsample_nearest2d(uint8)              eager [[[[1, 1, 200, 200], [1, 1, 200, 200], [3, 3, 4, 4], [3, 3,  | aot_eager [[[[1, 1, 200, 200], [1, 1, 200, 200], [ | inductor [[[[1, 1, 200, 200], [1, 1, 200, 200], [3, 3, 4, 4], [3, 3, 
!! glu(int8)                              eager raises NotImplementedError                                   | aot_eager raises NotImplementedError               | inductor [[0.11920291930437088], [2.9460413455963135]] float32
   embedding(uint8 weight)                eager [[[3, 4], [1, 200]], [[3, 4], [3, 4]]] uint8                 | aot_eager [[[3, 4], [1, 200]], [[3, 4], [3, 4]]] u | inductor [[[3, 4], [1, 200]], [[3, 4], [3, 4]]] uint8
   embedding(bool weight)                 eager [[[True, True], [True, False]], [[True, True], [True, True]] | aot_eager [[[True, True], [True, False]], [[True,  | inductor [[[True, True], [True, False]], [[True, True], [True, True]]
   constant_pad_nd(bool, value=2)         eager [[True, True, False, True], [True, True, True, True]] bool   | aot_eager [[True, True, False, True], [True, True, | inductor [[True, True, False, True], [True, True, True, True]] bool
   constant_pad_nd(int8, value=2.5)       eager [[2, 1, -2, 2], [2, 3, 4, 2]] int8                           | aot_eager [[2, 1, -2, 2], [2, 3, 4, 2]] int8       | inductor [[2, 1, -2, 2], [2, 3, 4, 2]] int8
!! constant_pad_nd(uint8, value=-1)       eager raises RuntimeError                                          | aot_eager raises RuntimeError                      | inductor [[255, 1, 200, 255], [255, 3, 4, 255]] uint8
!! constant_pad_nd(int8, value=300)       eager raises RuntimeError                                          | aot_eager raises RuntimeError                      | inductor [[44, 1, -2, 44], [44, 3, 4, 44]] int8
   slice_scatter(bool)                    eager [[False, False], [False, True]] bool                         | aot_eager [[False, False], [False, True]] bool     | inductor [[False, False], [False, True]] bool
   diagonal_scatter(uint8)                eager [[9, 200], [3, 9]] uint8                                     | aot_eager [[9, 200], [3, 9]] uint8                 | inductor [[9, 200], [3, 9]] uint8
   amax(bool)                             eager True bool                                                    | aot_eager True bool                                | inductor True bool
   amin(uint8, dim=(0,1))                 eager 1 uint8                                                      | aot_eager 1 uint8                                  | inductor 1 uint8
   cat(int8, uint8)                       eager [[1, -2], [3, 4], [1, 200], [3, 4]] int16                    | aot_eager [[1, -2], [3, 4], [1, 200], [3, 4]] int1 | inductor [[1, -2], [3, 4], [1, 200], [3, 4]] int16
   cat(bool, int8)                        eager [[1, 0], [1, 1], [1, -2], [3, 4]] int8                       | aot_eager [[1, 0], [1, 1], [1, -2], [3, 4]] int8   | inductor [[1, 0], [1, 1], [1, -2], [3, 4]] int8
   cat(int8, f)                           eager [[1.0, -2.0], [3.0, 4.0], [1.5, -2.25], [3.0, 4.0]] float32  | aot_eager [[1.0, -2.0], [3.0, 4.0], [1.5, -2.25],  | inductor [[1.0, -2.0], [3.0, 4.0], [1.5, -2.25], [3.0, 4.0]] float32
   repeat(bool)                           eager [[True, False], [True, True], [True, False], [True, True]] b | aot_eager [[True, False], [True, True], [True, Fal | inductor [[True, False], [True, True], [True, False], [True, True]] b
