torch 2.14.0+cpu: 603 pairs in shard 1/2, 603 to do
[530/603] ok             linalg.ldl_factor float32 (2s, total 362s)
[531/603] ok             linalg.matrix_power float32 (0s, total 362s)
[532/603] ok             linalg.multi_dot int64 (0s, total 362s)
[533/603] ok             linalg.norm float32 (0s, total 362s)
[534/603] ok             linalg.polar float32 (2s, total 364s)
[535/603] ok             linalg.vander int64 (2s, total 366s)
[536/603] ok             linalg.inv float32 (2s, total 369s)
[537/603] ok             linalg.tensorinv float32 (1s, total 370s)
[538/603] ok             special.i0e int64 (1s, total 371s)
[539/603] ok             special.i1 float32 (1s, total 373s)
[540/603] ok             special.i1 bool (1s, total 374s)
[541/603] ok             special.i1e int64 (2s, total 375s)
[542/603] ok             special.ndtr float32 (2s, total 377s)
[543/603] ok             special.ndtr bool (2s, total 379s)
[544/603] ok             special.polygamma int64 (0s, total 379s)
[545/603] ok             special.xlog1py float32 (2s, total 381s)
[546/603] ok             special.xlog1py bool (2s, total 383s)
[547/603] ok             special.entr int64 (1s, total 385s)
[548/603] ok             special.ndtri float32 (2s, total 387s)
[549/603] ok             special.ndtri bool (2s, total 389s)
[550/603] ok             special.log_ndtr int64 (2s, total 391s)
[551/603] ok             special.erfcx float32 (2s, total 393s)
[552/603] ok             special.erfcx bool (2s, total 395s)
[553/603] ok             special.airy_ai int64 (2s, total 397s)
[554/603] ok             special.bessel_j0 float32 (2s, total 399s)
[555/603] ok             special.bessel_j0 bool (1s, total 400s)
[556/603] ok             special.bessel_j1 int64 (1s, total 401s)
[557/603] ok             special.bessel_y0 float32 (1s, total 402s)
[558/603] ok             special.bessel_y0 bool (1s, total 404s)
[559/603] ok             special.bessel_y1 int64 (2s, total 406s)
[560/603] ok             special.chebyshev_polynomial_t float32 (2s, total 408s)
[561/603] ok             special.chebyshev_polynomial_t bool (2s, total 410s)
[562/603] ok             special.chebyshev_polynomial_u int64 (2s, total 412s)
[563/603] ok             special.chebyshev_polynomial_v float32 (2s, total 414s)
[564/603] ok             special.chebyshev_polynomial_v bool (2s, total 416s)
[565/603] ok             special.chebyshev_polynomial_w int64 (2s, total 418s)
[566/603] ok             special.hermite_polynomial_h float32 (2s, total 420s)
[567/603] ok             special.hermite_polynomial_h bool (2s, total 422s)
[568/603] ok             special.hermite_polynomial_he int64 (2s, total 424s)
[569/603] ok             special.laguerre_polynomial_l float32 (2s, total 426s)
[570/603] ok             special.laguerre_polynomial_l bool (2s, total 428s)
[571/603] ok             special.legendre_polynomial_p int64 (2s, total 430s)
[572/603] ok             special.modified_bessel_i0 float32 (2s, total 432s)
[573/603] ok             special.modified_bessel_i0 bool (2s, total 434s)
[574/603] ok             special.modified_bessel_i1 int64 (2s, total 436s)
[575/603] ok             special.modified_bessel_k0 float32 (2s, total 438s)
[576/603] ok             special.modified_bessel_k0 bool (2s, total 440s)
[577/603] ok             special.modified_bessel_k1 int64 (2s, total 443s)
[578/603] ok             special.scaled_modified_bessel_k0 float32 (1s, total 444s)
[579/603] ok             special.scaled_modified_bessel_k0 bool (2s, total 446s)
[580/603] ok             special.scaled_modified_bessel_k1 int64 (2s, total 448s)
[581/603] ok             special.shifted_chebyshev_polynomial_t float32 (2s, total 450s)
[582/603] ok             special.shifted_chebyshev_polynomial_t bool (2s, total 452s)
[583/603] ok             special.shifted_chebyshev_polynomial_u int64 (2s, total 454s)
[584/603] ok             special.shifted_chebyshev_polynomial_v float32 (2s, total 456s)
[585/603] ok             special.shifted_chebyshev_polynomial_v bool (2s, total 458s)
[586/603] ok             special.shifted_chebyshev_polynomial_w int64 (2s, total 460s)
[587/603] ok             special.spherical_bessel_j0 float32 (2s, total 461s)
[588/603] ok             special.spherical_bessel_j0 bool (2s, total 463s)
[589/603] ok             masked.sum int64 (2s, total 465s)
[590/603] ok             masked.prod float32 (2s, total 467s)
[591/603] ok             masked.prod bool (2s, total 469s)
[592/603] ok             masked.cumsum int64 (0s, total 469s)
[593/603] ok             masked.cumprod int64 (0s, total 469s)
[594/603] ok             masked.amax int64 (2s, total 471s)
[595/603] ok             masked.amin int64 (1s, total 472s)
[596/603] ok             masked.argmax int64 (1s, total 473s)
[597/603] ok             masked.argmin int64 (2s, total 475s)
[598/603] ok             masked.norm float32 (0s, total 475s)
[599/603] ok             masked.var int64 (2s, total 477s)
[600/603] ok             masked.std int64 (2s, total 479s)
[601/603] ok             masked.log_softmax float32 (0s, total 479s)
[602/603] ok             masked.logaddexp float32 (2s, total 481s)
[603/603] ok             masked.logsumexp int64 (1s, total 483s)
SWEEP DONE
