torch 2.14.0+cpu: 604 pairs in shard 0/2, 604 to do
[134/604] ok             lt int64 (1s, total 65s)
[135/604] ok             masked_fill float32 (0s, total 65s)
[136/604] ok             masked_fill bool (0s, total 65s)
[137/604] ok             masked_scatter int64 (1s, total 66s)
[138/604] ok             matrix_exp float32 (1s, total 67s)
[139/604] ok             matmul int64 (1s, total 68s)
[140/604] ok             max int64 (0s, total 68s)
[141/604] ok             max float32 (1s, total 68s)
[142/604] ok             max bool (0s, total 68s)
[143/604] ok             var_mean float32 (0s, total 68s)
[144/604] ok             std_mean float32 (0s, total 68s)
[145/604] ok             meshgrid int64 (1s, total 69s)
[146/604] ok             meshgrid float32 (0s, total 69s)
[147/604] ok             meshgrid bool (0s, total 69s)
[148/604] ok             min int64 (0s, total 69s)
[149/604] ok             min float32 (0s, total 70s)
[150/604] ok             min bool (1s, total 70s)
[151/604] ok             nanquantile float32 (0s, total 70s)
[152/604] ok             max int64 (1s, total 71s)
[153/604] ok             maximum float32 (1s, total 72s)
[154/604] ok             maximum bool (1s, total 72s)
[155/604] ok             min int64 (1s, total 73s)
[156/604] ok             minimum float32 (1s, total 74s)
[157/604] ok             minimum bool (1s, total 75s)
[158/604] ok             logical_and int64 (1s, total 75s)
[159/604] ok             logical_or float32 (1s, total 76s)
[160/604] ok             logical_or bool (1s, total 77s)
[161/604] ok             logical_xor int64 (1s, total 77s)
[162/604] ok             bitwise_and int64 (1s, total 78s)
[163/604] ok             bitwise_or int64 (1s, total 79s)
[164/604] ok             bitwise_xor int64 (1s, total 79s)
[165/604] ok             heaviside float32 (1s, total 80s)
[166/604] ok             heaviside bool (1s, total 81s)
[167/604] ok             gcd int64 (1s, total 81s)
[168/604] ok             isclose int64 (1s, total 82s)
[169/604] ok             softmax float32 (0s, total 82s)
[170/604] ok             softmax int64 (0s, total 82s)
[171/604] ok             _softmax_backward_data float32 (0s, total 82s)
[172/604] ok             nn.functional.softmin float32 (0s, total 82s)
[173/604] ok             nn.functional.cross_entropy float32 (1s, total 83s)
[174/604] ok             nn.functional.linear_cross_entropy float32 (1s, total 84s)
[175/604] ok             aminmax float32 (1s, total 85s)
[176/604] ok             aminmax bool (1s, total 86s)
[177/604] ok             as_strided int64 (0s, total 86s)
[178/604] ok             as_strided float32 (0s, total 86s)
[179/604] ok             as_strided bool (0s, total 86s)
[180/604] ok             as_strided_copy int64 (0s, total 86s)
[181/604] ok             as_strided_scatter float32 (0s, total 86s)
[182/604] ok             as_strided_scatter bool (0s, total 86s)
[183/604] ok             native_layer_norm float32 (0s, total 86s)
[184/604] ok             _native_batch_norm_legit float32 (0s, total 86s)
[185/604] ok             nn.functional.cosine_similarity float32 (1s, total 87s)
[186/604] ok             nn.functional.adaptive_avg_pool2d float32 (0s, total 87s)
[187/604] ok             nn.functional.adaptive_max_pool1d float32 (0s, total 87s)
[188/604] ok             nn.functional.adaptive_max_pool3d float32 (0s, total 87s)
[189/604] ok             nn.functional.avg_pool1d int64 (0s, total 87s)
[190/604] ok             nn.functional.avg_pool3d int64 (0s, total 87s)
[191/604] ok             nn.functional.conv_transpose1d float32 (1s, total 88s)
[192/604] ok             nn.functional.conv_transpose2d float32 (1s, total 89s)
[193/604] ok             nn.functional.conv_transpose3d float32 (1s, total 91s)
[194/604] ok             nn.functional.conv1d float32 (1s, total 92s)
[195/604] ok             nn.functional.conv2d float32 (1s, total 93s)
[196/604] ok             nn.functional.conv3d float32 (1s, total 94s)
[197/604] ok             nn.functional.group_norm float32 (0s, total 94s)
[198/604] ok             nn.functional.layer_norm float32 (0s, total 94s)
[199/604] ok             nn.functional.local_response_norm float32 (0s, total 94s)
[200/604] ok             constant_pad_nd float32 (0s, total 94s)
[201/604] ok             constant_pad_nd bool (0s, total 94s)
[202/604] ok             nn.functional.pad int64 (0s, total 94s)
[203/604] ok             nn.functional.pad float32 (0s, total 94s)
[204/604] ok             nn.functional.pad float32 (0s, total 94s)
[205/604] ok             nn.functional.pad float32 (0s, total 94s)
[206/604] ok             nn.functional.pad float32 (0s, total 94s)
[207/604] ok             nn.functional.pad bool (0s, total 94s)
[208/604] ok             nn.functional.unfold float32 (0s, total 94s)
[209/604] ok             _upsample_bilinear2d_aa float32 (1s, total 95s)
[210/604] ok             nn.functional.margin_ranking_loss float32 (1s, total 96s)
[211/604] ok             nn.functional.multi_margin_loss float32 (1s, total 97s)
[212/604] ok             nn.functional.multilabel_soft_margin_loss float32 (1s, total 98s)
[213/604] ok             nn.functional.avg_pool2d int64 (0s, total 98s)
[214/604] ok             nn.functional.max_pool2d float32 (1s, total 99s)
[215/604] ok             max_pool2d_with_indices_backward float32 (1s, total 100s)
[216/604] ok             nn.functional.max_pool3d int64 (1s, total 101s)
[217/604] ok             nn.functional.linear int64 (1s, total 102s)
[218/604] ok             nn.functional.bilinear int64 (1s, total 103s)
[219/604] ok             torch.ops.aten._safe_softmax.default int64 (1s, total 104s)
[220/604] DIFF:VALUE[decomposed] nn.functional.scaled_dot_product_attention float32 (2s, total 105s)
[221/604] ok             nn.functional.hardsigmoid float32 (1s, total 106s)
[222/604] ok             nn.functional.mish float32 (1s, total 107s)
[223/604] ok             nn.functional.softsign int64 (1s, total 108s)
[224/604] ok             nn.functional.tanhshrink int64 (1s, total 109s)
[225/604] ok             nn.functional.threshold int64 (0s, total 109s)
[226/604] ok             nn.functional.triplet_margin_loss int64 (1s, total 110s)
[227/604] ok             nn.functional.triplet_margin_with_distance_loss int64 (1s, total 111s)
[228/604] ok             to float32 (0s, total 111s)
[229/604] ok             to bool (0s, total 111s)
[230/604] DIFF:SILENT[decomposed] nn.functional.binary_cross_entropy float32 (1s, total 112s)
[231/604] ok             igammac float32 (1s, total 112s)
[232/604] ok             nn.functional.hardshrink float32 (1s, total 113s)
[233/604] ok             nn.functional.hardtanh int64 (1s, total 114s)
[234/604] ok             mm int64 (1s, total 114s)
[235/604] ok             mvlgamma int64 (0s, total 114s)
[236/604] ok             mvlgamma int64 (0s, total 114s)
[237/604] ok             mvlgamma int64 (0s, total 114s)
[238/604] ok             ne int64 (1s, total 115s)
[239/604] ok             narrow float32 (0s, total 115s)
[240/604] ok             narrow bool (0s, total 115s)
[241/604] ok             narrow_copy int64 (0s, total 115s)
[242/604] ok             view_copy float32 (0s, total 115s)
[243/604] ok             view_copy bool (0s, total 115s)
[244/604] ok             neg int64 (0s, total 115s)
[245/604] ok             outer float32 (0s, total 116s)
[246/604] ok             outer bool (0s, total 116s)
[247/604] ok             permute int64 (0s, total 116s)
[248/604] ok             permute_copy float32 (0s, total 116s)
[249/604] ok             permute_copy bool (0s, total 116s)
[250/604] ok             pow int64 (1s, total 117s)
[251/604] ok             float_power int64 (1s, total 118s)
[252/604] ok             rad2deg float32 (0s, total 118s)
[253/604] ok             rad2deg bool (0s, total 118s)
[254/604] ok             real int64 (1s, total 119s)
[255/604] ok             roll float32 (0s, total 119s)
[256/604] ok             roll bool (0s, total 119s)
[257/604] ok             rot90 int64 (0s, total 119s)
[258/604] ok             round float32 (0s, total 119s)
[259/604] ok             round float32 (1s, total 120s)
[260/604] ok             round float32 (1s, total 121s)
[261/604] ok             sin int64 (0s, total 121s)
[262/604] ok             sinc float32 (1s, total 122s)
[263/604] ok             sinc bool (1s, total 123s)
[264/604] ok             sinh int64 (0s, total 123s)
[265/604] ok             sign float32 (0s, total 123s)
[266/604] ok             sign bool (0s, total 124s)
[267/604] ok             sgn int64 (0s, total 124s)
[268/604] ok             split float32 (0s, total 124s)
[269/604] ok             split bool (0s, total 124s)
[270/604] ok             split int64 (0s, total 124s)
[271/604] ok             unsafe_split float32 (0s, total 124s)
[272/604] ok             unsafe_split bool (0s, total 124s)
[273/604] ok             split_with_sizes int64 (0s, total 124s)
[274/604] ok             split_with_sizes_copy float32 (0s, total 124s)
[275/604] ok             split_with_sizes_copy bool (0s, total 124s)
[276/604] ok             __radd__ int64 (1s, total 124s)
[277/604] ok             __rdiv__ float32 (1s, total 125s)
[278/604] ok             __rdiv__ bool (1s, total 126s)
[279/604] ok             __rmul__ int64 (1s, total 127s)
[280/604] ok             __ror__ int64 (1s, total 128s)
[281/604] ok             __rxor__ int64 (1s, total 129s)
[282/604] ok             __rmatmul__ float32 (1s, total 130s)
[283/604] ok             __rmod__ float32 (1s, total 131s)
[284/604] ok             __rpow__ float32 (1s, total 131s)
[285/604] ok             __rsub__ float32 (1s, total 132s)
[286/604] ok             rsub float32 (1s, total 133s)
[287/604] ok             select float32 (0s, total 133s)
[288/604] ok             select bool (0s, total 133s)
[289/604] ok             select_scatter int64 (0s, total 133s)
[290/604] ok             slice float32 (1s, total 134s)
[291/604] ok             slice bool (1s, total 134s)
[292/604] ok             slice_scatter int64 (0s, total 134s)
[293/604] ok             signbit float32 (0s, total 135s)
[294/604] ok             signbit bool (0s, total 135s)
[295/604] ok             tan int64 (0s, total 135s)
[296/604] ok             tanh float32 (0s, total 135s)
[297/604] ok             tanh bool (0s, total 135s)
[298/604] ok             tensor_split int64 (1s, total 136s)
[299/604] ok             hsplit float32 (0s, total 136s)
[300/604] ok             hsplit bool (0s, total 136s)
[301/604] ok             vsplit int64 (0s, total 136s)
[302/604] ok             dsplit float32 (0s, total 136s)
[303/604] ok             dsplit bool (0s, total 136s)
[304/604] ok             trunc int64 (0s, total 137s)
[305/604] ok             exp2 int64 (1s, total 137s)
[306/604] ok             expm1 float32 (0s, total 138s)
[307/604] ok             expm1 bool (0s, total 138s)
[308/604] ok             nan_to_num int64 (1s, total 139s)
[309/604] ok             reciprocal float32 (1s, total 139s)
[310/604] ok             reciprocal bool (1s, total 140s)
[311/604] ok             square int64 (1s, total 141s)
[312/604] ok             lerp float32 (0s, total 141s)
[313/604] ok             angle int64 (0s, total 141s)
[314/604] ok             isfinite float32 (1s, total 142s)
[315/604] ok             isfinite bool (1s, total 143s)
[316/604] ok             isinf int64 (0s, total 143s)
[317/604] ok             isposinf float32 (0s, total 144s)
[318/604] ok             isposinf bool (0s, total 144s)
[319/604] ok             isneginf int64 (0s, total 144s)
[320/604] ok             isreal float32 (1s, total 145s)
[321/604] ok             isreal bool (1s, total 147s)
[322/604] ok             isnan int64 (0s, total 147s)
[323/604] ok             einsum float32 (0s, total 147s)
[324/604] DIFF:VALUE[decomposed]+VALUE[export] pca_lowrank float32 (2s, total 149s)
[325/604] ok             polygamma float32 (0s, total 149s)
[326/604] ok             polygamma bool (0s, total 149s)
[327/604] ok             polygamma int64 (0s, total 149s)
[328/604] ok             polygamma float32 (0s, total 149s)
[329/604] ok             polygamma bool (0s, total 149s)
[330/604] ok             polygamma int64 (0s, total 149s)
[331/604] ok             polygamma float32 (0s, total 149s)
[332/604] ok             polygamma bool (0s, total 149s)
[333/604] ok             ravel int64 (1s, total 150s)
[334/604] ok             unravel_index int64 (0s, total 150s)
[335/604] ok             reshape int64 (0s, total 150s)
[336/604] ok             reshape_as float32 (2s, total 152s)
[337/604] ok             reshape_as bool (2s, total 154s)
[338/604] ok             view int64 (0s, total 154s)
[339/604] ok             view_as float32 (2s, total 157s)
[340/604] ok             view_as bool (2s, total 158s)
[341/604] ok             atleast_1d int64 (1s, total 160s)
[342/604] ok             atleast_2d float32 (1s, total 160s)
[343/604] ok             atleast_2d bool (1s, total 161s)
[344/604] ok             atleast_3d int64 (1s, total 162s)
[345/604] ok             flatten float32 (1s, total 163s)
[346/604] ok             flatten bool (1s, total 164s)
[347/604] ok             unflatten int64 (0s, total 164s)
[348/604] ok             gather float32 (0s, total 164s)
[349/604] ok             gather bool (0s, total 164s)
[350/604] ok             index_fill int64 (0s, total 164s)
[351/604] ok             index_copy float32 (0s, total 164s)
[352/604] ok             index_copy bool (0s, total 164s)
[353/604] ok             index_select int64 (0s, total 164s)
[354/604] ok             index_add float32 (0s, total 164s)
[355/604] ok             index_add bool (0s, total 164s)
[356/604] ok             __getitem__ int64 (0s, total 164s)
[357/604] ok             index_put float32 (0s, total 164s)
[358/604] ok             index_put bool (0s, total 164s)
[359/604] ok             put int64 (0s, total 164s)
[360/604] ok             take float32 (1s, total 165s)
[361/604] ok             take bool (1s, total 165s)
[362/604] ok             scatter int64 (0s, total 165s)
[363/604] ok             bfloat16 float32 (1s, total 166s)
[364/604] ok             bfloat16 bool (2s, total 168s)
[365/604] ok             bool int64 (2s, total 170s)
[366/604] ok             byte float32 (2s, total 172s)
[367/604] ok             byte bool (3s, total 175s)
[368/604] ok             char int64 (3s, total 177s)
[369/604] ok             double float32 (2s, total 179s)
[370/604] ok             double bool (2s, total 182s)
[371/604] ok             float int64 (2s, total 184s)
[372/604] ok             half float32 (2s, total 186s)
[373/604] ok             half bool (2s, total 188s)
[374/604] ok             int int64 (2s, total 190s)
[375/604] ok             long float32 (2s, total 192s)
[376/604] ok             long bool (2s, total 194s)
[377/604] ok             short int64 (2s, total 196s)
[378/604] ok             cdouble float32 (2s, total 198s)
[379/604] ok             cdouble bool (2s, total 200s)
[380/604] ok             cfloat int64 (1s, total 201s)
[381/604] ok             chalf float32 (2s, total 204s)
[382/604] ok             chalf bool (2s, total 206s)
[383/604] ok             zeros_like int64 (1s, total 207s)
[384/604] ok             ones_like float32 (2s, total 209s)
[385/604] ok             ones_like bool (2s, total 211s)
[386/604] ok             full_like int64 (0s, total 211s)
[387/604] ok             new_zeros float32 (0s, total 211s)
[388/604] ok             new_zeros bool (0s, total 212s)
[389/604] ok             new_ones int64 (0s, total 212s)
[390/604] ok             ones float32 (0s, total 212s)
[391/604] ok             ones bool (0s, total 212s)
[392/604] ok             zeros int64 (0s, total 212s)
[393/604] ok             full float32 (0s, total 212s)
[394/604] ok             full bool (0s, total 212s)
[395/604] ok             eye int64 (0s, total 212s)
[396/604] ok             scalar_tensor float32 (0s, total 212s)
[397/604] ok             scalar_tensor bool (0s, total 212s)
[398/604] ok             new_full int64 (0s, total 212s)
[399/604] ok             scatter_add float32 (0s, total 212s)
[400/604] ok             scatter_add bool (0s, total 212s)
[401/604] ok             stack int64 (0s, total 212s)
[402/604] ok             hstack float32 (0s, total 212s)
[403/604] ok             hstack bool (0s, total 212s)
[404/604] ok             histc float32 (2s, total 214s)
[405/604] ok             cat float32 (0s, total 214s)
[406/604] ok             cat bool (0s, total 214s)
[407/604] ok             unbind int64 (0s, total 214s)
[408/604] ok             unbind_copy float32 (0s, total 214s)
[409/604] ok             unbind_copy bool (0s, total 214s)
[410/604] ok             vstack int64 (0s, total 214s)
[411/604] ok             dstack float32 (0s, total 214s)
[412/604] ok             dstack bool (0s, total 214s)
[413/604] ok             unfold int64 (0s, total 214s)
[414/604] ok             unfold_copy float32 (0s, total 214s)
[415/604] ok             unfold_copy bool (0s, total 214s)
[416/604] ok             movedim int64 (0s, total 214s)
[417/604] ok             renorm float32 (0s, total 214s)
[418/604] ok             repeat int64 (0s, total 214s)
[419/604] ok             squeeze float32 (1s, total 215s)
[420/604] ok             squeeze bool (1s, total 217s)
[421/604] ok             squeeze int64 (0s, total 217s)
[422/604] ok             squeeze_copy float32 (1s, total 218s)
[423/604] ok             squeeze_copy bool (1s, total 219s)
[424/604] ok             fill int64 (2s, total 222s)
[425/604] ok             take_along_dim float32 (0s, total 222s)
[426/604] ok             take_along_dim bool (0s, total 222s)
[427/604] ok             tile int64 (0s, total 222s)
[428/604] ok             trapz float32 (2s, total 224s)
[429/604] ok             trapezoid float32 (2s, total 226s)
[430/604] ok             cumulative_trapezoid float32 (2s, total 228s)
[431/604] ok             unsqueeze float32 (0s, total 228s)
[432/604] ok             unsqueeze bool (0s, total 228s)
[433/604] ok             unsqueeze_copy int64 (0s, total 228s)
[434/604] ok             xlogy float32 (2s, total 230s)
[435/604] ok             xlogy bool (2s, total 232s)
[436/604] ok             zero_ int64 (2s, total 233s)
[437/604] ok             logsumexp float32 (0s, total 233s)
[438/604] ok             logsumexp bool (0s, total 233s)
[439/604] ok             trace int64 (2s, total 235s)
[440/604] ok             transpose int64 (0s, total 235s)
[441/604] ok             transpose_copy float32 (0s, total 236s)
[442/604] ok             transpose_copy bool (0s, total 236s)
[443/604] ok             T int64 (1s, total 237s)
[444/604] ok             H float32 (1s, total 238s)
[445/604] ok             H bool (1s, total 239s)
[446/604] ok             mT int64 (2s, total 241s)
[447/604] ok             mH float32 (2s, total 243s)
[448/604] ok             mH bool (2s, total 245s)
[449/604] ok             tril int64 (1s, total 247s)
[450/604] ok             triu float32 (2s, total 248s)
[451/604] ok             triu bool (2s, total 250s)
[452/604] ok             tril_indices int64 (0s, total 250s)
[453/604] ok             kron int64 (1s, total 250s)
[454/604] ok             inner float32 (1s, total 252s)
[455/604] ok             tensordot float32 (2s, total 254s)
[456/604] TOOL_ERROR     to_sparse float32 (0s, total 254s)
[457/604] TOOL_ERROR     to_sparse bool (0s, total 254s)
[458/604] ok             sigmoid float32 (2s, total 256s)
[459/604] ok             sigmoid bool (2s, total 258s)
[460/604] ok             digamma int64 (2s, total 260s)
[461/604] ok             erf float32 (1s, total 261s)
[462/604] ok             erf bool (1s, total 261s)
[463/604] ok             erfc int64 (2s, total 263s)
[464/604] ok             erfinv float32 (1s, total 264s)
[465/604] ok             erfinv bool (1s, total 264s)
[466/604] ok             nn.functional.l1_loss float32 (3s, total 267s)
[467/604] ok             lgamma int64 (2s, total 269s)
[468/604] ok             log_softmax float32 (0s, total 269s)
[469/604] ok             log_softmax int64 (0s, total 269s)
[470/604] ok             logit float32 (1s, total 270s)
[471/604] ok             logit bool (1s, total 271s)
[472/604] ok             where int64 (2s, total 274s)
[473/604] ok             jiterator_unary float32 (0s, total 274s)
[474/604] ok             jiterator_unary bool (0s, total 274s)
[475/604] ok             jiterator_binary int64 (0s, total 274s)
[476/604] ok             jiterator_4inputs_with_extra_args float32 (0s, total 274s)
[477/604] ok             jiterator_4inputs_with_extra_args bool (0s, total 274s)
[478/604] ok             jiterator_binary_return_by_ref int64 (0s, total 274s)
[479/604] ok             jiterator_2inputs_2outputs float32 (0s, total 274s)
[480/604] ok             jiterator_2inputs_2outputs bool (0s, total 274s)
[481/604] ok             norm float32 (0s, total 274s)
[482/604] ok             norm float32 (0s, total 274s)
[483/604] ok             t int64 (2s, total 276s)
[484/604] ok             t_copy float32 (2s, total 278s)
[485/604] ok             t_copy bool (2s, total 280s)
[486/604] ok             nn.functional.embedding float32 (2s, total 282s)
[487/604] ok             nn.functional.mse_loss float32 (2s, total 284s)
[488/604] ok             grid_sampler_3d float32 (1s, total 286s)
[489/604] ok             all int64 (2s, total 287s)
[490/604] ok             any float32 (2s, total 289s)
[491/604] ok             any bool (2s, total 291s)
[492/604] ok             amax int64 (2s, total 293s)
[493/604] ok             amin float32 (2s, total 295s)
[494/604] ok             amin bool (1s, total 297s)
[495/604] ok             argmax int64 (1s, total 298s)
[496/604] ok             argmin int64 (2s, total 299s)
[497/604] ok             nanmean float32 (2s, total 302s)
[498/604] ok             std float32 (0s, total 302s)
[499/604] ok             var float32 (0s, total 302s)
[500/604] ok             prod int64 (1s, total 303s)
[501/604] ok             sum float32 (2s, total 305s)
[502/604] ok             sum bool (2s, total 307s)
[503/604] ok             nansum int64 (2s, total 309s)
[504/604] ok             hash_tensor float32 (2s, total 311s)
[505/604] ok             hash_tensor bool (2s, total 313s)
[506/604] ok             nn.functional.cosine_embedding_loss int64 (2s, total 315s)
[507/604] ok             nn.functional.nll_loss float32 (2s, total 317s)
[508/604] ok             nn.functional.hinge_embedding_loss float32 (2s, total 319s)
[509/604] ok             nn.functional.pdist float32 (2s, total 321s)
[510/604] ok             repeat_interleave int64 (2s, total 323s)
[511/604] ok             nn.functional.pairwise_distance float32 (2s, total 326s)
[512/604] ok             nn.functional.pixel_shuffle float32 (2s, total 327s)
[513/604] ok             nn.functional.pixel_shuffle bool (2s, total 330s)
[514/604] ok             nn.functional.pixel_unshuffle int64 (2s, total 332s)
[515/604] ok             nn.functional.channel_shuffle float32 (0s, total 332s)
[516/604] ok             nn.functional.channel_shuffle bool (0s, total 332s)
[517/604] ok             diagflat float32 (2s, total 334s)
[518/604] ok             diagflat bool (2s, total 336s)
[519/604] ok             scatter_reduce int64 (0s, total 336s)
[520/604] ok             scatter_reduce float32 (0s, total 336s)
[521/604] ok             scatter_reduce bool (0s, total 336s)
[522/604] ok             scatter_reduce int64 (0s, total 336s)
[523/604] ok             scatter_reduce int64 (0s, total 336s)
[524/604] ok             scatter_reduce float32 (0s, total 336s)
[525/604] ok             scatter_reduce bool (0s, total 336s)
[526/604] ok             _segment_reduce float32 (0s, total 336s)
[527/604] ok             linalg.cross int64 (2s, total 338s)
[528/604] ok             linalg.diagonal int64 (1s, total 339s)
[529/604] ok             linalg.vecdot float32 (1s, total 341s)
[530/604] ok             linalg.householder_product float32 (2s, total 343s)
[531/604] ok             linalg.ldl_factor_ex float32 (2s, total 345s)
[532/604] ok             linalg.multi_dot float32 (0s, total 345s)
[533/604] ok             linalg.norm float32 (1s, total 346s)
[534/604] ok             linalg.matrix_norm float32 (0s, total 346s)
[535/604] ok             linalg.vander float32 (2s, total 348s)
[536/604] ok             linalg.vector_norm float32 (2s, total 349s)
[537/604] ok             linalg.inv_ex float32 (2s, total 352s)
[538/604] ok             special.i0e float32 (1s, total 353s)
[539/604] ok             special.i0e bool (1s, total 354s)
[540/604] ok             special.i1 int64 (1s, total 355s)
[541/604] ok             special.i1e float32 (1s, total 356s)
