torch 2.14.0+cpu: 604 pairs in shard 0/2, 604 to do
[1/604] ok             abs float32 (1s, total 1s)
[2/604] ok             acos float32 (1s, total 2s)
[3/604] ok             acos bool (1s, total 3s)
[4/604] ok             acosh int64 (1s, total 3s)
[5/604] ok             add float32 (1s, total 4s)
[6/604] ok             add bool (1s, total 5s)
[7/604] ok             item int64 (1s, total 6s)
[8/604] ok             arange float32 (0s, total 6s)
[9/604] ok             clamp_max float32 (1s, total 7s)
[10/604] ok             clamp_max bool (1s, total 8s)
[11/604] ok             clamp_min int64 (1s, total 9s)
[12/604] ok             mul float32 (1s, total 9s)
[13/604] ok             mul bool (1s, total 10s)
[14/604] ok             sub int64 (1s, total 11s)
[15/604] ok             addmm int64 (1s, total 12s)
[16/604] ok             addmm int64 (1s, total 13s)
[17/604] ok             addmv int64 (1s, total 13s)
[18/604] ok             addbmm int64 (1s, total 14s)
[19/604] ok             baddbmm int64 (1s, total 15s)
[20/604] ok             dot int64 (0s, total 15s)
[21/604] ok             vdot int64 (0s, total 15s)
[22/604] ok             bmm int64 (0s, total 16s)
[23/604] ok             mv int64 (0s, total 16s)
[24/604] ok             addr int64 (1s, total 16s)
[25/604] ok             addcmul float32 (1s, total 17s)
[26/604] ok             addcdiv float32 (1s, total 18s)
[27/604] ok             asin int64 (0s, total 18s)
[28/604] ok             asinh float32 (0s, total 18s)
[29/604] ok             asinh bool (0s, total 18s)
[30/604] ok             atan int64 (0s, total 19s)
[31/604] ok             atan2 float32 (1s, total 19s)
[32/604] ok             atan2 bool (1s, total 20s)
[33/604] ok             atanh int64 (0s, total 20s)
[34/604] ok             allclose float32 (0s, total 20s)
[35/604] ok             broadcast_to int64 (0s, total 20s)
[36/604] ok             broadcast_shapes float32 (0s, total 20s)
[37/604] ok             broadcast_tensors int64 (0s, total 21s)
[38/604] ok             block_diag float32 (1s, total 21s)
[39/604] ok             block_diag bool (1s, total 22s)
[40/604] ok             bitwise_not bool (1s, total 23s)
[41/604] ok             bitwise_right_shift int64 (1s, total 24s)
[42/604] ok             combinations int64 (1s, total 24s)
[43/604] ok             cartesian_prod float32 (1s, total 25s)
[44/604] ok             cartesian_prod bool (1s, total 26s)
[45/604] ok             ceil float32 (0s, total 26s)
[46/604] ok             chunk float32 (0s, total 26s)
[47/604] ok             chunk bool (0s, total 26s)
[48/604] ok             unsafe_chunk int64 (0s, total 26s)
[49/604] ok             clone float32 (0s, total 27s)
[50/604] ok             clone bool (1s, total 27s)
[51/604] ok             contiguous int64 (0s, total 28s)
[52/604] ok             sum_to_size float32 (0s, total 28s)
[53/604] ok             sum_to_size bool (0s, total 28s)
[54/604] ok             clamp int64 (1s, total 28s)
[55/604] ok             positive int64 (0s, total 29s)
[56/604] ok             conj int64 (1s, total 29s)
[57/604] ok             conj_physical float32 (0s, total 30s)
[58/604] ok             conj_physical bool (0s, total 30s)
[59/604] ok             complex float32 (1s, total 30s)
[60/604] ok             copysign int64 (1s, total 31s)
[61/604] ok             corrcoef float32 (0s, total 31s)
[62/604] ok             cos float32 (1s, total 32s)
[63/604] ok             cos bool (1s, total 32s)
[64/604] ok             cosh int64 (1s, total 33s)
[65/604] ok             cov float32 (0s, total 33s)
[66/604] ok             cross float32 (1s, total 34s)
[67/604] ok             cumsum float32 (0s, total 34s)
[68/604] ok             cumprod float32 (0s, total 34s)
[69/604] ok             cummax float32 (0s, total 34s)
[70/604] ok             cummax bool (0s, total 34s)
[71/604] ok             cummin int64 (0s, total 34s)
[72/604] ok             deg2rad float32 (0s, total 34s)
[73/604] ok             deg2rad bool (0s, total 35s)
[74/604] ok             diff int64 (0s, total 35s)
[75/604] ok             div float32 (1s, total 35s)
[76/604] ok             div bool (1s, total 36s)
[77/604] ok             div int64 (1s, total 37s)
[78/604] ok             div int64 (1s, total 38s)
[79/604] ok             true_divide int64 (1s, total 38s)
[80/604] ok             equal float32 (0s, total 38s)
[81/604] ok             equal bool (0s, total 38s)
[82/604] ok             exp int64 (1s, total 39s)
[83/604] ok             expand float32 (0s, total 39s)
[84/604] ok             expand bool (0s, total 39s)
[85/604] ok             expand_as int64 (1s, total 40s)
[86/604] ok             expand_copy float32 (0s, total 40s)
[87/604] ok             expand_copy bool (0s, total 40s)
[88/604] ok             diag int64 (0s, total 40s)
[89/604] ok             diag_embed float32 (1s, total 41s)
[90/604] ok             diag_embed bool (1s, total 42s)
[91/604] ok             diagonal int64 (1s, total 43s)
[92/604] ok             diagonal_copy float32 (1s, total 43s)
[93/604] ok             diagonal_copy bool (1s, total 44s)
[94/604] ok             diagonal_scatter int64 (0s, total 44s)
[95/604] ok             alias_copy float32 (0s, total 44s)
[96/604] ok             alias_copy bool (0s, total 45s)
[97/604] ok             eq int64 (1s, total 46s)
[98/604] ok             fmax float32 (1s, total 46s)
[99/604] ok             fmax bool (1s, total 47s)
[100/604] ok             fmin int64 (1s, total 48s)
[101/604] ok             fmod float32 (1s, total 48s)
[102/604] ok             remainder float32 (1s, total 49s)
[103/604] ok             frac float32 (0s, total 49s)
[104/604] ok             floor int64 (0s, total 50s)
[105/604] ok             flip int64 (1s, total 50s)
[106/604] ok             fliplr float32 (0s, total 51s)
[107/604] ok             fliplr bool (1s, total 51s)
[108/604] ok             flipud int64 (0s, total 52s)
[109/604] ok             sparse.sampled_addmm float32 (1s, total 52s)
[110/604] ok             i0 float32 (1s, total 53s)
[111/604] ok             i0 bool (0s, total 53s)
[112/604] ok             floor_divide int64 (1s, total 54s)
[113/604] ok             log1p float32 (0s, total 54s)
[114/604] ok             log1p bool (0s, total 54s)
[115/604] ok             ge int64 (1s, total 55s)
[116/604] ok             gt float32 (1s, total 56s)
[117/604] ok             gt bool (1s, total 56s)
[118/604] ok             gradient int64 (1s, total 57s)
[119/604] ok             isin int64 (0s, total 57s)
[120/604] ok             le int64 (1s, total 58s)
[121/604] ok             linspace float32 (0s, total 58s)
[122/604] ok             linspace float32 (0s, total 58s)
[123/604] ok             logspace float32 (0s, total 58s)
[124/604] ok             logspace float32 (0s, total 58s)
[125/604] ok             log float32 (1s, total 59s)
[126/604] ok             log bool (1s, total 60s)
[127/604] ok             log10 int64 (1s, total 60s)
[128/604] ok             log2 float32 (1s, total 61s)
[129/604] ok             log2 bool (1s, total 61s)
[130/604] ok             ldexp int64 (1s, total 62s)
[131/604] ok             logaddexp float32 (1s, total 63s)
[132/604] ok             logical_not float32 (1s, total 64s)
[133/604] ok             logical_not bool (1s, total 64s)
